ID;token;organizations;itinerary;lat;lgt;distance;duration;weather;roadtype;traffic;circadian;pause;outlayer;timestamp;reload_weather;reload_roadtype;date
1972110;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.629146575927734;6.16902494430542;1960;126;1;0;1;2;0;0;1627981084;0;0;"2021-08-03 10:24:57"
1972111;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62785339355469;6.176729679107666;2580;162;1;0;1;2;0;0;1627981120;0;0;"2021-08-03 10:24:59"
1972112;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62474822998047;6.185673713684082;3300;204;1;0;1;2;0;0;1627981162;0;0;"2021-08-03 10:25:00"
1972113;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.627593994140625;6.178091049194336;2690;168;1;0;1;2;0;0;1627981126;0;0;"2021-08-03 10:25:07"
1972114;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62435531616211;6.186967849731445;3410;210;1;0;1;2;0;0;1627981168;0;0;"2021-08-03 10:25:08"
1972115;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62723922729492;6.179446220397949;2800;174;1;0;1;2;0;0;1627981132;0;0;"2021-08-03 10:25:15"
1972116;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.624061584472656;6.188351154327393;3520;216;1;0;1;2;0;0;1627981174;0;0;"2021-08-03 10:25:16"
1972117;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.623783111572266;6.198533535003662;4280;258;1;0;1;2;0;0;1627981216;1;1;"2021-08-03 10:25:23"
1972118;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.623748779296875;6.189749717712402;3630;222;1;0;1;2;0;0;1627981180;0;0;"2021-08-03 10:25:23"
1972119;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62690734863281;6.1808085441589355;2910;180;1;0;1;2;0;0;1627981138;0;0;"2021-08-03 10:25:23"
