	RR	Timestamp	SensorContact	errorEstimate	blockerBit	
137	639	1,62538E+12	-1	-1	-1	990
138	649	1,62538E+12	-1	-1	-1	0
139	646	1,62538E+12	-1	-1	-1	990
140	645	1,62538E+12	-1	-1	-1	990
141	643	1,62538E+12	-1	-1	-1	0
142	647	1,62538E+12	-1	-1	-1	991
143	639	1,62538E+12	-1	-1	-1	989
144	637	1,62538E+12	-1	-1	-1	0
145	648	1,62538E+12	-1	-1	-1	990
146	644	1,62538E+12	-1	-1	-1	990
147	656	1,62538E+12	-1	-1	-1	0
148	660	1,62538E+12	-1	-1	-1	987
149	670	1,62538E+12	-1	-1	-1	993
150	668	1,62538E+12	-1	-1	-1	0
151	678	1,62538E+12	-1	-1	-1	987
152	693	1,62538E+12	-1	-1	-1	993
153	647	1,62538E+12	-1	-1	-1	0
154	676	1,62538E+12	-1	-1	-1	991
155	670	1,62538E+12	-1	-1	-1	990
156	661	1,62538E+12	-1	-1	-1	0
157	672	1,62538E+12	-1	-1	-1	989
158	678	1,62538E+12	-1	-1	-1	991
159	685	1,62538E+12	-1	-1	-1	0
160	704	1,62538E+12	-1	-1	-1	989
161	704	1,62538E+12	-1	-1	-1	990
162	725	1,62538E+12	-1	-1	-1	0
163	677	1,62538E+12	-1	-1	-1	990
164	676	1,62538E+12	-1	-1	-1	990
165	679	1,62538E+12	-1	-1	-1	0
166	676	1,62538E+12	-1	-1	-1	987
167	662	1,62538E+12	-1	-1	-1	990
168	668	1,62538E+12	-1	-1	-1	0
169	687	1,62538E+12	-1	-1	-1	989
170	642	1,62538E+12	-1	-1	-1	991
171	688	1,62538E+12	-1	-1	-1	0
172	682	1,62538E+12	-1	-1	-1	990
173	709	1,62538E+12	-1	-1	-1	990
174	725	1,62538E+12	-1	-1	-1	990
175	746	1,62538E+12	-1	-1	-1	0
176	703	1,62538E+12	-1	-1	-1	994
177	697	1,62538E+12	-1	-1	-1	985
178	681	1,62538E+12	-1	-1	-1	0
179	676	1,62538E+12	-1	-1	-1	995
180	665	1,62538E+12	-1	-1	-1	989
181	661	1,62538E+12	-1	-1	-1	0
182	656	1,62538E+12	-1	-1	-1	990
183	650	1,62538E+12	-1	-1	-1	990
184	633	1,62538E+12	-1	-1	-1	0
185	633	1,62538E+12	-1	-1	-1	990
186	643	1,62538E+12	-1	-1	-1	992
187	646	1,62538E+12	-1	-1	-1	0
188	659	1,62538E+12	-1	-1	-1	989
189	692	1,62538E+12	-1	-1	-1	990
190	698	1,62538E+12	-1	-1	-1	0
191	680	1,62538E+12	-1	-1	-1	990
192	686	1,62538E+12	-1	-1	-1	989
193	696	1,62538E+12	-1	-1	-1	0
194	676	1,62538E+12	-1	-1	-1	1980
195	691	1,62538E+12	-1	-1	-1	40
196	695	1,62538E+12	-1	-1	-1	0
197	677	1,62538E+12	-1	-1	-1	952
198	672	1,62538E+12	-1	-1	-1	988
199	701	1,62538E+12	-1	-1	-1	991
200	706	1,62538E+12	-1	-1	-1	0
201	693	1,62538E+12	-1	-1	-1	989
202	683	1,62538E+12	-1	-1	-1	990
203	696	1,62538E+12	-1	-1	-1	0
204	677	1,62538E+12	-1	-1	-1	990
205	684	1,62538E+12	-1	-1	-1	990
206	710	1,62538E+12	-1	-1	-1	0
207	718	1,62538E+12	-1	-1	-1	987
208	699	1,62538E+12	-1	-1	-1	989
209	702	1,62538E+12	-1	-1	-1	991
210	684	1,62538E+12	-1	-1	-1	0
211	676	1,62538E+12	-1	-1	-1	990
212	678	1,62538E+12	-1	-1	-1	993
213	674	1,62538E+12	-1	-1	-1	0
214	657	1,62538E+12	-1	-1	-1	987
215	652	1,62538E+12	-1	-1	-1	989
216	659	1,62538E+12	-1	-1	-1	1
217	704	1,62538E+12	-1	-1	-1	991
218	712	1,62538E+12	-1	-1	-1	990
219	760	1,62538E+12	-1	-1	-1	0
220	776	1,62538E+12	-1	-1	-1	989
221	742	1,62538E+12	-1	-1	-1	990
222	735	1,62538E+12	-1	-1	-1	990
223	728	1,62538E+12	-1	-1	-1	0
224	682	1,62538E+12	-1	-1	-1	990
225	683	1,62538E+12	-1	-1	-1	989
226	666	1,62538E+12	-1	-1	-1	0
227	673	1,62538E+12	-1	-1	-1	990
228	668	1,62538E+12	-1	-1	-1	991
229	675	1,62538E+12	-1	-1	-1	0
230	689	1,62538E+12	-1	-1	-1	990
231	703	1,62538E+12	-1	-1	-1	989
232	691	1,62538E+12	-1	-1	-1	991
233	690	1,62538E+12	-1	-1	-1	0
234	692	1,62538E+12	-1	-1	-1	990
235	682	1,62538E+12	-1	-1	-1	991
236	688	1,62538E+12	-1	-1	-1	0
237	669	1,62538E+12	-1	-1	-1	991
238	666	1,62538E+12	-1	-1	-1	991
239	664	1,62538E+12	-1	-1	-1	0
240	666	1,62538E+12	-1	-1	-1	990
241	652	1,62538E+12	-1	-1	-1	990
242	649	1,62538E+12	-1	-1	-1	0
243	650	1,62538E+12	-1	-1	-1	992
244	651	1,62538E+12	-1	-1	-1	988
245	648	1,62538E+12	-1	-1	-1	0
246	649	1,62538E+12	-1	-1	-1	990
247	650	1,62538E+12	-1	-1	-1	987
248	646	1,62538E+12	-1	-1	-1	0
249	642	1,62538E+12	-1	-1	-1	993
250	653	1,62538E+12	-1	-1	-1	0
251	656	1,62538E+12	-1	-1	-1	990
252	655	1,62538E+12	-1	-1	-1	990
253	658	1,62538E+12	-1	-1	-1	0
254	678	1,62538E+12	-1	-1	-1	990
255	664	1,62538E+12	-1	-1	-1	991
256	658	1,62538E+12	-1	-1	-1	0
257	670	1,62538E+12	-1	-1	-1	989
258	669	1,62538E+12	-1	-1	-1	990
259	658	1,62538E+12	-1	-1	-1	0
260	662	1,62538E+12	-1	-1	-1	990
261	649	1,62538E+12	-1	-1	-1	990
262	630	1,62538E+12	-1	-1	-1	0
263	632	1,62538E+12	-1	-1	-1	990
264	640	1,62538E+12	-1	-1	-1	990
265	668	1,62538E+12	-1	-1	-1	0
266	674	1,62538E+12	-1	-1	-1	991
267	682	1,62538E+12	-1	-1	-1	987
268	681	1,62538E+12	-1	-1	-1	0
269	661	1,62538E+12	-1	-1	-1	993
270	648	1,62538E+12	-1	-1	-1	989
271	641	1,62538E+12	-1	-1	-1	0
272	634	1,62538E+12	-1	-1	-1	990
273	649	1,62538E+12	-1	-1	-1	990
274	691	1,62538E+12	-1	-1	-1	0
275	725	1,62538E+12	-1	-1	-1	991
276	750	1,62538E+12	-1	-1	-1	1979
277	737	1,62538E+12	-1	-1	-1	0
278	728	1,62538E+12	-1	-1	-1	990
279	721	1,62538E+12	-1	-1	-1	988
280	734	1,62538E+12	-1	-1	-1	993
281	696	1,62538E+12	-1	-1	-1	0
282	681	1,62538E+12	-1	-1	-1	989
283	674	1,62538E+12	-1	-1	-1	991
284	665	1,62538E+12	-1	-1	-1	0
285	663	1,62538E+12	-1	-1	-1	990
286	654	1,62538E+12	-1	-1	-1	989
287	660	1,62538E+12	-1	-1	-1	0
288	667	1,62538E+12	-1	-1	-1	990
289	668	1,62538E+12	-1	-1	-1	991
290	655	1,62538E+12	-1	-1	-1	0
291	667	1,62538E+12	-1	-1	-1	989
292	666	1,62538E+12	-1	-1	-1	990
293	655	1,62538E+12	-1	-1	-1	0
294	663	1,62538E+12	-1	-1	-1	990
295	647	1,62538E+12	-1	-1	-1	990
296	648	1,62538E+12	-1	-1	-1	0
297	672	1,62538E+12	-1	-1	-1	1982
298	688	1,62538E+12	-1	-1	-1	38
299	699	1,62538E+12	-1	-1	-1	0
300	700	1,62538E+12	-1	-1	-1	950
301	702	1,62538E+12	-1	-1	-1	990
302	706	1,62538E+12	-1	-1	-1	0
303	686	1,62538E+12	-1	-1	-1	990
304	671	1,62538E+12	-1	-1	-1	990
305	665	1,62538E+12	-1	-1	-1	990
306	660	1,62538E+12	-1	-1	-1	1
307	689	1,62538E+12	-1	-1	-1	986
308	694	1,62538E+12	-1	-1	-1	993
309	699	1,62538E+12	-1	-1	-1	0
310	667	1,62538E+12	-1	-1	-1	997
311	679	1,62538E+12	-1	-1	-1	982
312	669	1,62538E+12	-1	-1	-1	0
313	667	1,62538E+12	-1	-1	-1	991
314	655	1,62538E+12	-1	-1	-1	988
315	673	1,62538E+12	-1	-1	-1	0
316	637	1,62538E+12	-1	-1	-1	992
317	659	1,62538E+12	-1	-1	-1	990
318	661	1,62538E+12	-1	-1	-1	0
319	684	1,62538E+12	-1	-1	-1	990
320	690	1,62538E+12	-1	-1	-1	990
321	698	1,62538E+12	-1	-1	-1	0
322	695	1,62538E+12	-1	-1	-1	991
323	686	1,62538E+12	-1	-1	-1	989
324	687	1,62538E+12	-1	-1	-1	0
325	673	1,62538E+12	-1	-1	-1	991
326	691	1,62538E+12	-1	-1	-1	990
327	684	1,62538E+12	-1	-1	-1	0
328	693	1,62538E+12	-1	-1	-1	990
329	676	1,62538E+12	-1	-1	-1	989
330	710	1,62538E+12	-1	-1	-1	991
331	735	1,62538E+12	-1	-1	-1	0
332	727	1,62538E+12	-1	-1	-1	989
333	745	1,62538E+12	-1	-1	-1	991
334	735	1,62538E+12	-1	-1	-1	0
335	721	1,62538E+12	-1	-1	-1	989
336	708	1,62538E+12	-1	-1	-1	990
337	698	1,62538E+12	-1	-1	-1	990
338	678	1,62538E+12	-1	-1	-1	0
339	672	1,62538E+12	-1	-1	-1	996
340	670	1,62538E+12	-1	-1	-1	984
341	681	1,62538E+12	-1	-1	-1	0
342	679	1,62538E+12	-1	-1	-1	991
343	674	1,62538E+12	-1	-1	-1	989
344	671	1,62538E+12	-1	-1	-1	0
345	702	1,62538E+12	-1	-1	-1	991
346	734	1,62538E+12	-1	-1	-1	989
347	738	1,62538E+12	-1	-1	-1	990
348	730	1,62538E+12	-1	-1	-1	0
349	711	1,62538E+12	-1	-1	-1	990
350	669	1,62538E+12	-1	-1	-1	1980
351	656	1,62538E+12	-1	-1	-1	0
352	650	1,62538E+12	-1	-1	-1	40
353	648	1,62538E+12	-1	-1	-1	950
354	670	1,62538E+12	-1	-1	-1	1
355	693	1,62538E+12	-1	-1	-1	987
356	715	1,62538E+12	-1	-1	-1	990
357	717	1,62538E+12	-1	-1	-1	0
358	679	1,62538E+12	-1	-1	-1	987
359	660	1,62538E+12	-1	-1	-1	990
360	675	1,62538E+12	-1	-1	-1	0
361	686	1,62538E+12	-1	-1	-1	998
362	683	1,62538E+12	-1	-1	-1	984
363	662	1,62538E+12	-1	-1	-1	0
364	659	1,62538E+12	-1	-1	-1	992
365	669	1,62538E+12	-1	-1	-1	990
366	670	1,62538E+12	-1	-1	-1	0
367	668	1,62538E+12	-1	-1	-1	992
368	678	1,62538E+12	-1	-1	-1	987
369	661	1,62538E+12	-1	-1	-1	1
370	643	1,62538E+12	-1	-1	-1	988
371	635	1,62538E+12	-1	-1	-1	989
372	638	1,62538E+12	-1	-1	-1	0
373	669	1,62538E+12	-1	-1	-1	990
374	757	1,62538E+12	-1	-1	-1	990
375	848	1,62538E+12	-1	-1	-1	990
376	826	1,62538E+12	-1	-1	-1	0
377	763	1,62538E+12	-1	-1	-1	991
378	718	1,62538E+12	-1	-1	-1	990
379	707	1,62538E+12	-1	-1	-1	990
380	704	1,62538E+12	-1	-1	-1	0
381	691	1,62538E+12	-1	-1	-1	992
382	658	1,62538E+12	-1	-1	-1	992
383	666	1,62538E+12	-1	-1	-1	0
384	696	1,62538E+12	-1	-1	-1	989
385	705	1,62538E+12	-1	-1	-1	993
386	729	1,62538E+12	-1	-1	-1	987
387	702	1,62538E+12	-1	-1	-1	0
388	663	1,62538E+12	-1	-1	-1	990
389	694	1,62538E+12	-1	-1	-1	987
390	703	1,62538E+12	-1	-1	-1	0
391	707	1,62538E+12	-1	-1	-1	993
392	736	1,62538E+12	-1	-1	-1	990
393	732	1,62538E+12	-1	-1	-1	0
394	723	1,62538E+12	-1	-1	-1	990
395	708	1,62538E+12	-1	-1	-1	989
396	667	1,62538E+12	-1	-1	-1	991
397	667	1,62538E+12	-1	-1	-1	0
398	690	1,62538E+12	-1	-1	-1	990
399	731	1,62538E+12	-1	-1	-1	990
400	822	1,62538E+12	-1	-1	-1	0
401	823	1,62538E+12	-1	-1	-1	990
402	791	1,62538E+12	-1	-1	-1	990
403	785	1,62538E+12	-1	-1	-1	990
404	761	1,62538E+12	-1	-1	-1	990
405	719	1,62538E+12	-1	-1	-1	0
406	707	1,62538E+12	-1	-1	-1	990
407	704	1,62538E+12	-1	-1	-1	990
408	699	1,62538E+12	-1	-1	-1	0
409	666	1,62538E+12	-1	-1	-1	990
410	670	1,62538E+12	-1	-1	-1	990
411	670	1,62538E+12	-1	-1	-1	0
412	692	1,62538E+12	-1	-1	-1	990
413	737	1,62538E+12	-1	-1	-1	990
414	767	1,62538E+12	-1	-1	-1	1981
415	753	1,62538E+12	-1	-1	-1	0
416	708	1,62538E+12	-1	-1	-1	95
417	693	1,62538E+12	-1	-1	-1	894
418	690	1,62538E+12	-1	-1	-1	1980
419	688	1,62538E+12	-1	-1	-1	0
420	685	1,62538E+12	-1	-1	-1	990
421	698	1,62538E+12	-1	-1	-1	986
422	708	1,62538E+12	-1	-1	-1	0
423	699	1,62538E+12	-1	-1	-1	994
424	700	1,62538E+12	-1	-1	-1	990
425	690	1,62538E+12	-1	-1	-1	0
