	Timestamp	Quality	Lat	Lon		8104	5465
0	1,62538E+12	27.67300033569336	44,3137549	23,8227313			
1	1,62538E+12	68.40000152587889	44,3138147	23,8225388	5465		
2	1,62538E+12	68.40000152587889	44,3138147	23,8225388	5889		
3	1,62538E+12	68.40000152587889	44,3138147	23,8225388	5987		
4	1,62538E+12	10.0	44,31366927	23,8226442	5923		
5	1,62538E+12	6.0	44,31378654	23,82244069	5960		
6	1,62538E+12	6.0	44,31393238	23,82185044	5941		
7	1,62538E+12	11.5	44,31408187	23,82125004	5944		
8	1,62538E+12	6.5	44,31419159	23,8206913	5913		
9	1,62538E+12	5.0	44,3143133	23,82024807	5946		
10	1,62538E+12	4.5	44,31434159	23,82023382	5947		
11	1,62538E+12	4.5	44,3146826	23,82023659	6994		
12	1,62538E+12	4.0	44,31520869	23,82041797	6844		
13	1,62538E+12	4.0	44,31571907	23,8206152	5938		
14	1,62538E+12	4.5	44,3158541	23,82102801	6946		
15	1,62538E+12	3.0	44,31566756	23,82177936	5919		
16	1,62538E+12	3.0	44,31543765	23,82270405	5966		
17	1,62538E+12	3.0	44,31522978	23,82352782	5943		
18	1,62538E+12	3.0	44,31515564	23,82382035	5921		
19	1,62538E+12	3.0	44,31515627	23,82382203	5924		
20	1,62538E+12	3.0	44,31515627	23,82382203	5982		
21	1,62538E+12	3.0	44,31515627	23,82382203	6916		
22	1,62538E+12	3.0	44,31515627	23,82382203	5926		
23	1,62538E+12	3.0	44,31515627	23,82382203	5948		
24	1,62538E+12	3.0	44,31515627	23,82382203	5917		
25	1,62538E+12	3.5	44,31511419	23,82398187	5942		
26	1,62538E+12	22.0	44,31493599	23,82461873	5990		
27	1,62538E+12	5.0	44,3148458	23,82572732	6893		
28	1,62538E+12	3.5	44,31466991	23,82671915	5963		
29	1,62538E+12	16.5	44,3145521	23,82782967	5915		
30	1,62538E+12	5.5	44,31443152	23,82874028	6938		
31	1,62538E+12	10.5	44,31435257	23,82979757	5966		
32	1,62538E+12	4.0	44,31416741	23,83079669	5912		
33	1,62538E+12	3.0	44,31404596	23,83181258	5962		
34	1,62538E+12	2.5	44,31393574	23,83274297	5913		
35	1,62538E+12	3.0	44,31383779	23,8337493	5940		
36	1,62538E+12	3.0	44,31371512	23,83490944	5965		
37	1,62538E+12	3.0	44,31357477	23,83610554	5921		
38	1,62538E+12	3.0	44,31345885	23,83703744	5938		
39	1,62538E+12	3.0	44,31330969	23,83762074	5925		
40	1,62538E+12	3.5	44,31334858	23,8379602	5950		
41	1,62538E+12	9.5	44,31335194	23,83888414	5924		
42	1,62538E+12	5.5	44,31325043	23,84015341	5956		
43	1,62538E+12	11.0	44,31310304	23,84151002	6954		
44	1,62538E+12	5.0	44,31300325	23,84290217	5914		
45	1,62538E+12	3.5	44,31290598	23,84432676	5937		
46	1,62538E+12	3.0	44,3128657	23,84578672	6029		
47	1,62538E+12	3.0	44,31285128	23,84732162	5855		
48	1,62538E+12	2.5	44,31284445	23,84881645	5936		
49	1,62538E+12	2.5	44,31282417	23,85023869	5948		
50	1,62538E+12	10.0	44,31284843	23,85152849	5939		
51	1,62538E+12	4.0	44,31282639	23,85281361	5953		
52	1,62538E+12	3.5	44,31283226	23,85390527	5927		
53	1,62538E+12	6.0	44,31283213	23,85545223	5963		
54	1,62538E+12	4.0	44,31280749	23,85683382	5913		
55	1,62538E+12	3.5	44,31280824	23,8581186	5940		
56	1,62538E+12	3.0	44,31285816	23,85928486	5941		
57	1,62538E+12	14.0	44,31297525	23,86067776	5948		
58	1,62538E+12	6.5	44,31278955	23,86220125	5920		
59	1,62538E+12	4.5	44,31272103	23,86346667	5942		
60	1,62538E+12	3.5	44,31235855	23,86520742	6968		
61	1,62538E+12	3.5	44,31212072	23,86661055	5896		
62	1,62538E+12	3.5	44,31223107	23,86790774	5982		
63	1,62538E+12	3.5	44,31227624	23,86919595	5911		
64	1,62538E+12	3.5	44,31219046	23,87053689	5980		
65	1,62538E+12	3.0	44,31210546	23,87193533	5929		
66	1,62538E+12	3.5	44,31204214	23,87334374	5912		
67	1,62538E+12	3.0	44,3120853	23,87480814	6949		
68	1,62538E+12	9.5	44,31217101	23,8759832	5948		
69	1,62538E+12	5.0	44,31217151	23,87715088	5922		
70	1,62538E+12	3.5	44,31221862	23,87849995	6942		
71	1,62538E+12	3.0	44,31225244	23,87965598	5953		
72	1,62538E+12	3.0	44,31229028	23,88085677	5931		
73	1,62538E+12	3.0	44,31235432	23,88207952	5935		
74	1,62538E+12	3.0	44,31242054	23,8832887	5929		
75	1,62538E+12	2.5	44,31248097	23,88434918	5927		
76	1,62538E+12	2.5	44,31254581	23,88583613	6960		
77	1,62538E+12	2.5	44,31260083	23,88702921	5917		
78	1,62538E+12	2.5	44,31268541	23,88816873	5927		
79	1,62538E+12	2.5	44,31274601	23,88908562	5950		
80	1,62538E+12	3.0	44,31268604	23,88972851	5949		
