	Timestamp	Quality	Lat	Lon	
89	1,62607E+12	4,727512745	48,52148438	2,205125632	60953
90	1,62607E+12	4,706286	48,50686646	2,200817942	61119
91	1,62607E+12	4,723932669	48,49291992	2,198793855	60917
92	1,62607E+12	4,709801291	48,47839355	2,191115263	61005
93	1,62607E+12	4,726863025	48,46466064	2,181091012	60997
94	1,62607E+12	4,734619225	48,45898438	2,172927338	60942
95	1,62607E+12	4,734896301	48,45776367	2,16258424	61060
96	1,62607E+12	4,73224796	48,45523071	2,155657273	60959
97	1,62607E+12	4,735026157	48,45672607	2,152297881	60856
98	1,62607E+12	9,845426618	48,45755005	2,151790249	61004
99	1,62607E+12	9,35991308	48,45751953	2,151803886	60982
100	1,62607E+12	9,3599155	48,45751953	2,151803886	60996
101	1,62607E+12	9,359915399	48,45751953	2,151803886	60991
102	1,62607E+12	4,735301007	48,45751953	2,151897492	60983
