	Timestamp	Quality	Lat	Lon		15,69303892
0	1,62405E+12	6	45,23371002	5,64985352		
1	1,62405E+12	12	45,23372286	5,649950329	0,001745364	6370
2	1,62405E+12	8	45,23387133	5,649934766	0,020192227	5941
3	1,62405E+12	8	45,23379868	5,649581226	0,009881483	6009
4	1,62405E+12	6	45,23366953	5,648999824	0,0175638	5991
5	1,62405E+12	8	45,23353699	5,648463096	0,018025211	6001
6	1,62405E+12	8	45,23342644	5,647991794	0,015035785	6007
7	1,62405E+12	4	45,23326903	5,647371731	0,021407647	6012
8	1,62405E+12	6	45,23311221	5,646716164	0,021327717	5970
9	1,62405E+12	6	45,23292686	5,645983646	0,025208137	6024
10	1,62405E+12	6	45,2327467	5,645288222	0,024501401	5510
11	1,62405E+12	4	45,23259072	5,644655977	0,021214163	6476
12	1,62405E+12	4	45,23241272	5,644581107	0,024207943	6009
13	1,62405E+12	6	45,23201833	5,645235941	0,053637099	5992
14	1,62405E+12	6	45,23151058	5,646157369	0,069055299	5992
15	1,62405E+12	6	45,2310836	5,646880277	0,05806999	6003
16	1,62405E+12	6	45,23100054	5,647470142	0,011296503	5986
17	1,62405E+12	6	45,23147398	5,648052856	0,064388812	6000
18	1,62405E+12	4	45,23178186	5,649034151	0,041872494	6021
19	1,62405E+12	4	45,23184644	5,649259652	0,008782413	5985
20	1,62405E+12	6	45,23184644	5,649259652	0	6009
21	1,62405E+12	6	45,23184644	5,649259652	0	6034
22	1,62405E+12	6	45,23197437	5,649664024	0,017399338	6042
23	1,62405E+12	4	45,23224503	5,650648046	0,036810787	5926
24	1,62405E+12	8	45,23260822	5,652018406	0,049393368	5528
25	1,62405E+12	4	45,23313837	5,653467664	0,072101343	6055
26	1,62405E+12	4	45,23407084	5,654745714	0,126816005	5949
27	1,62405E+12	6	45,23507308	5,655742964	0,136304674	5996
28	1,62405E+12	6	45,23566841	5,656990393	0,080963892	5990
29	1,62405E+12	6	45,23613683	5,658275669	0,063704556	6012
30	1,62405E+12	4	45,23654881	5,659402203	0,056028719	6011
31	1,62405E+12	6	45,23677964	5,660273741	0,031392018	6050
32	1,62405E+12	8	45,23668637	5,660871845	0,012684436	5931
33	1,62405E+12	6	45,23613127	5,661083394	0,075492427	6035
34	1,62405E+12	4	45,23552115	5,661863727	0,082975243	5957
35	1,62405E+12	4	45,23486828	5,66287264	0,08878897	6005
36	1,62405E+12	8	45,23375093	5,66355068	0,151959447	6005
37	1,62405E+12	4	45,23245531	5,664297156	0,176204619	6032
38	1,62405E+12	4	45,23112495	5,665106384	0,180932133	5960
39	1,62405E+12	4	45,22980925	5,665977964	0,178938204	6022
40	1,62405E+12	4	45,22850317	5,666905395	0,177632289	6054
41	1,62405E+12	6	45,22721091	5,667872839	0,175753392	5939
42	1,62405E+12	4	45,22592825	5,668833733	0,174448563	6520
43	1,62405E+12	4	45,22463132	5,669804202	0,176392032	5470
44	1,62405E+12	4	45,22332921	5,670783112	0,177096194	6007
45	1,62405E+12	4	45,22203474	5,671743864	0,176060319	6004
46	1,62405E+12	4	45,22076065	5,672730537	0,173288544	6510
47	1,62405E+12	6	45,21954111	5,673900533	0,165870522	5570
48	1,62405E+12	4	45,21842702	5,675210526	0,151529137	5910
49	1,62405E+12	6	45,21747599	5,676534693	0,129352087	6487
50	1,62405E+12	6	45,21656794	5,677890186	0,123506919	5515
51	1,62405E+12	4	45,21564466	5,679218769	0,125580203	5994
52	1,62405E+12	8	45,21483445	5,680441459	0,110200009	6024
53	1,62405E+12	6	45,21407809	5,681729097	0,10287614	6504
54	1,62405E+12	4	45,21339622	5,683096699	0,092745373	5474
55	1,62405E+12	8	45,21280789	5,684540217	0,080023192	6502
56	1,62405E+12	6	45,21229622	5,686054199	0,069595538	5514
57	1,62405E+12	8	45,21184493	5,687728432	0,06138314	6012
58	1,62405E+12	4	45,21148754	5,689615408	0,048611044	5981
59	1,62405E+12	4	45,21116698	5,691628405	0,043602388	6047
60	1,62405E+12	4	45,21084355	5,693656278	0,043992755	6436
61	1,62405E+12	4	45,2104708	5,695674208	0,050700071	5514
62	1,62405E+12	6	45,20999071	5,697631347	0,065301409	6483
63	1,62405E+12	4	45,20941673	5,699542745	0,078072667	5512
64	1,62405E+12	6	45,20874764	5,701382063	0,091009485	6492
65	1,62405E+12	4	45,20802418	5,70319794	0,098404821	5512
66	1,62405E+12	4	45,20728483	5,70501673	0,100566732	6013
67	1,62405E+12	4	45,20654339	5,706846215	0,100851229	5977
68	1,62405E+12	4	45,20584766	5,708697783	0,094635303	6494
69	1,62405E+12	4	45,20518813	5,710563313	0,089711194	5514
70	1,62405E+12	4	45,20425915	5,712149751	0,12636284	6014
71	1,62405E+12	4	45,20324981	5,713464734	0,137293477	6483
72	1,62405E+12	4	45,20226378	5,714733726	0,134124057	5980
73	1,62405E+12	4	45,20119112	5,715838759	0,145908975	5517
74	1,62405E+12	4	45,19994028	5,716404605	0,170147786	6584
75	1,62405E+12	4	45,19862349	5,716252266	0,17911921	5914
76	1,62405E+12	4	45,19733425	5,715873395	0,17537384	5972
77	1,62405E+12	4	45,19612759	5,715937249	0,164140797	6028
78	1,62405E+12	4	45,19510401	5,716423488	0,139238077	5512
79	1,62405E+12	4	45,19435853	5,717079393	0,101408408	6471
80	1,62405E+12	4	45,1940142	5,717566124	0,046840252	5523
81	1,62405E+12	4	45,1938404	5,717941274	0,023641367	6491
82	1,62405E+12	4	45,19369926	5,71841788	0,019199945	5986
83	1,62405E+12	4	45,19352625	5,71903477	0,023534765	6031
