,Timestamp,Quality,Lat,Lon
0,1623472214459,5.360000133514403,49.04910001,6.58073295
1,1623472275406,7.504000186920166,49.04842936,6.58137215
2,1623472336327,9.648000717163086,49.05227528,6.5755270999999995
3,1623472397319,5.360000133514403,49.05820512,6.56584583
4,1623472458361,7.504000186920166,49.05997969,6.54956384
5,1623472519309,8.576000213623049,49.06672705,6.53992169
6,1623472580365,12.86400032043457,49.07640912,6.52841742
7,1623472641315,7.504000186920166,49.08601099,6.5155496
8,1623472702321,10.720000267028807,49.09481251,6.50681662
9,1623472763290,7.504000186920166,49.0953891,6.50226148
10,1623472824297,3.2160000801086426,49.09867938,6.48414851
11,1623472885293,8.576000213623049,49.10647369,6.46873041
12,1623472946285,4.2880001068115225,49.10755961,6.4542704
13,1623473007316,5.360000133514403,49.10813788,6.43336201
14,1623473068273,13.93600082397461,49.10878968,6.41375317
15,1623473129294,8.576000213623049,49.10902356,6.4054822
16,1623473190259,8.576000213623049,49.10905403,6.39718999
17,1623473251278,8.576000213623049,49.10886501,6.38864845
18,1623473312256,6.432000160217285,49.11159173,6.37454602
19,1623473373292,9.648000717163086,49.11590127,6.36110348
20,1623473434270,8.576000213623049,49.11546303,6.34418997
21,1623473495236,10.720000267028807,49.119330100000006,6.32514384
22,1623473556274,21.440000534057614,49.11659156,6.31379814
23,1623473617214,10.720000267028807,49.11558669,6.29728818
24,1623473678257,7.504000186920166,49.11670277,6.2798522000000006
25,1623473739240,5.360000133514403,49.11672442,6.27906659
26,1623473800226,6.432000160217285,49.11423796,6.27992
27,1623473861214,7.504000186920166,49.11303421,6.28285332
28,1623473922223,11.791999816894533,49.11310691,6.28323446
29,1623473987777,7.504000186920166,49.11339373,6.28324406
30,1623474048193,6.432000160217285,49.11312563,6.28339943
31,1623474109177,11.791999816894533,49.11323231,6.28346017
32,1623475325380,6.432000160217285,49.11318981,6.28350708
33,1623475386092,5.360000133514403,49.11318944,6.28350631
34,1623475447998,6.432000160217285,49.11318749,6.28350418
35,1623475508309,7.504000186920166,49.11318718,6.28350342
36,1623475569219,9.648000717163086,49.113186600000006,6.28350203
37,1623476105070,8.576000213623049,49.11318086,6.28350345
