	RR	Timestamp	SensorContact	errorEstimate	blockerBit	gap
134	759	1,62677E+12	-1	-1	-1	990
135	575	1,62677E+12	-1	-1	-1	960
136	943	1,62677E+12	-1	-1	-1	1021
137	767	1,62677E+12	-1	-1	-1	0
138	783	1,62677E+12	-1	-1	-1	989
139	775	1,62677E+12	-1	-1	-1	990
140	791	1,62677E+12	-1	-1	-1	1020
141	791	1,62677E+12	-1	-1	-1	990
142	783	1,62677E+12	-1	-1	-1	0
143	631	1,62677E+12	-1	-1	-1	1020
144	967	1,62677E+12	-1	-1	-1	989
145	727	1,62677E+12	-1	-1	-1	990
146	751	1,62677E+12	-1	-1	-1	0
147	815	1,62677E+12	-1	-1	-1	991
148	823	1,62677E+12	-1	-1	-1	1019
149	647	1,62677E+12	-1	-1	-1	992
150	775	1,62677E+12	-1	-1	-1	5010
151	839	1,62677E+12	-1	-1	-1	3000
152	847	1,62677E+12	-1	-1	-1	3000
153	975	1,62677E+12	-1	-1	-1	988
154	1023	1,62677E+12	-1	-1	-1	991
155	1039	1,62677E+12	-1	-1	-1	1022
156	943	1,62677E+12	-1	-1	-1	988
157	943	1,62677E+12	-1	-1	-1	990
158	879	1,62677E+12	-1	-1	-1	1021
159	959	1,62677E+12	-1	-1	-1	990
160	919	1,62677E+12	-1	-1	-1	989
161	1207	1,62677E+12	-1	-1	-1	3001
162	983	1,62677E+12	-1	-1	-1	1020
163	823	1,62677E+12	-1	-1	-1	1981
164	935	1,62677E+12	-1	-1	-1	1018
165	815	1,62677E+12	-1	-1	-1	990
166	775	1,62677E+12	-1	-1	-1	3990
167	855	1,62677E+12	-1	-1	-1	1021
168	759	1,62677E+12	-1	-1	-1	991
169	823	1,62677E+12	-1	-1	-1	990
170	847	1,62677E+12	-1	-1	-1	1020
171	823	1,62677E+12	-1	-1	-1	0
172	879	1,62677E+12	-1	-1	-1	990
173	791	1,62677E+12	-1	-1	-1	991
174	823	1,62677E+12	-1	-1	-1	1018
175	887	1,62677E+12	-1	-1	-1	990
176	895	1,62677E+12	-1	-1	-1	991
177	887	1,62677E+12	-1	-1	-1	1019
178	951	1,62677E+12	-1	-1	-1	990
179	911	1,62677E+12	-1	-1	-1	0
180	887	1,62677E+12	-1	-1	-1	991
181	919	1,62677E+12	-1	-1	-1	1020
182	839	1,62677E+12	-1	-1	-1	992
183	887	1,62677E+12	-1	-1	-1	989
184	871	1,62677E+12	-1	-1	-1	1019
185	887	1,62677E+12	-1	-1	-1	989
186	871	1,62677E+12	-1	-1	-1	991
187	871	1,62677E+12	-1	-1	-1	0
188	783	1,62677E+12	-1	-1	-1	1020
189	791	1,62677E+12	-1	-1	-1	990
190	799	1,62677E+12	-1	-1	-1	990
191	855	1,62677E+12	-1	-1	-1	1050
192	887	1,62677E+12	-1	-1	-1	960
193	879	1,62677E+12	-1	-1	-1	0
194	831	1,62677E+12	-1	-1	-1	989
195	839	1,62677E+12	-1	-1	-1	1020
196	879	1,62677E+12	-1	-1	-1	991
197	871	1,62677E+12	-1	-1	-1	990
198	863	1,62677E+12	-1	-1	-1	990
199	687	1,62677E+12	-1	-1	-1	0
200	1015	1,62677E+12	-1	-1	-1	1020
201	823	1,62677E+12	-1	-1	-1	991
202	863	1,62677E+12	-1	-1	-1	3000
203	831	1,62677E+12	-1	-1	-1	0
204	831	1,62677E+12	-1	-1	-1	991
205	895	1,62677E+12	-1	-1	-1	1018
206	879	1,62677E+12	-1	-1	-1	990
207	919	1,62677E+12	-1	-1	-1	990
208	935	1,62677E+12	-1	-1	-1	1021
209	871	1,62677E+12	-1	-1	-1	991
210	911	1,62677E+12	-1	-1	-1	1018
211	919	1,62677E+12	-1	-1	-1	990
212	879	1,62677E+12	-1	-1	-1	0
213	903	1,62677E+12	-1	-1	-1	992
214	855	1,62677E+12	-1	-1	-1	990
215	887	1,62677E+12	-1	-1	-1	1019
216	855	1,62677E+12	-1	-1	-1	990
217	815	1,62677E+12	-1	-1	-1	990
218	855	1,62677E+12	-1	-1	-1	1020
219	927	1,62677E+12	-1	-1	-1	989
220	863	1,62677E+12	-1	-1	-1	0
221	927	1,62677E+12	-1	-1	-1	990
222	927	1,62677E+12	-1	-1	-1	1020
223	871	1,62677E+12	-1	-1	-1	991
224	895	1,62677E+12	-1	-1	-1	990
225	911	1,62677E+12	-1	-1	-1	1020
226	855	1,62677E+12	-1	-1	-1	992
227	879	1,62677E+12	-1	-1	-1	988
228	839	1,62677E+12	-1	-1	-1	1021
229	887	1,62677E+12	-1	-1	-1	0
230	911	1,62677E+12	-1	-1	-1	990
231	943	1,62677E+12	-1	-1	-1	988
232	767	1,62677E+12	-1	-1	-1	1022
233	855	1,62677E+12	-1	-1	-1	989
234	855	1,62677E+12	-1	-1	-1	992
235	831	1,62677E+12	-1	-1	-1	1020
236	719	1,62677E+12	-1	-1	-1	5998
237	823	1,62677E+12	-1	-1	-1	1980
238	823	1,62677E+12	-1	-1	-1	1020
239	855	1,62677E+12	-1	-1	-1	1022
240	863	1,62677E+12	-1	-1	-1	988
241	863	1,62677E+12	-1	-1	-1	990
242	775	1,62677E+12	-1	-1	-1	993
243	823	1,62677E+12	-1	-1	-1	0
244	815	1,62677E+12	-1	-1	-1	987
245	887	1,62677E+12	-1	-1	-1	1021
246	799	1,62677E+12	-1	-1	-1	1331
247	815	1,62677E+12	-1	-1	-1	649
248	815	1,62677E+12	-1	-1	-1	2010
249	823	1,62677E+12	-1	-1	-1	989
250	831	1,62677E+12	-1	-1	-1	1022
251	895	1,62677E+12	-1	-1	-1	989
252	943	1,62677E+12	-1	-1	-1	989
253	847	1,62677E+12	-1	-1	-1	0
254	903	1,62677E+12	-1	-1	-1	1021
255	567	1,62677E+12	-1	-1	-1	989
256	887	1,62677E+12	-1	-1	-1	3001
257	951	1,62677E+12	-1	-1	-1	990
258	847	1,62677E+12	-1	-1	-1	2011
259	943	1,62677E+12	-1	-1	-1	989
260	1031	1,62677E+12	-1	-1	-1	1019
261	1015	1,62677E+12	-1	-1	-1	991
262	823	1,62677E+12	-1	-1	-1	991
263	1087	1,62677E+12	-1	-1	-1	1020
264	951	1,62677E+12	-1	-1	-1	989
265	975	1,62677E+12	-1	-1	-1	991
266	1023	1,62677E+12	-1	-1	-1	1019
267	975	1,62677E+12	-1	-1	-1	990
268	935	1,62677E+12	-1	-1	-1	997
269	959	1,62677E+12	-1	-1	-1	984
270	879	1,62677E+12	-1	-1	-1	1049
271	839	1,62677E+12	-1	-1	-1	991
272	863	1,62677E+12	-1	-1	-1	0
273	807	1,62677E+12	-1	-1	-1	989
274	823	1,62677E+12	-1	-1	-1	991
275	823	1,62677E+12	-1	-1	-1	989
276	839	1,62677E+12	-1	-1	-1	990
277	807	1,62677E+12	-1	-1	-1	1021
278	783	1,62677E+12	-1	-1	-1	0
