	Timestamp	Quality	Lat	Lon	gap (ms)	distance	test	km/h	0,099803509
65	1,62728E+12	14,40400028	50,6292363	3,0553931	7446	0	-	0	
66	1,62728E+12	14,40400028	50,6292363	3,0553931	4502	0,000268518	-	0,002690462	
67	1,62728E+12	13,37100029	50,6292369	3,0553896	7523	0	-	0	
68	1,62728E+12	13,37100029	50,6292369	3,0553896	4477	0,001342588	-	0,013452311	
69	1,62728E+12	14,41600037	50,629236	3,0554086	7544	0	-	0	
70	1,62728E+12	14,41600037	50,629236	3,0554086	4509	0,001094847	-	0,010970028	
71	1,62728E+12	14,40400028	50,6292363	3,0553931	7459	0	-	0	
72	1,62728E+12	14,40400028	50,6292363	3,0553931	4539	0,000268518	-	0,002690462	
73	1,62728E+12	13,37100029	50,6292369	3,0553896	7458	0	-	0	
74	1,62728E+12	13,37100029	50,6292369	3,0553896	4540	0,014423293	-	0,144516896	
75	1,62728E+12	74,96237183	50,62920638	3,05519086	6658	0	-	0	
76	1,62728E+12	64,48865509	50,62920641	3,05519091	6014	0,015020192	-	0,150497638	
77	1,62728E+12	13,97500038	50,6292345	3,0553992	6714	0	-	0	
78	1,62728E+12	13,97500038	50,6292345	3,0553992	4616	0	-	0	
79	1,62728E+12	13,97500038	50,6292345	3,0553992	7471	0	-	0	
80	1,62728E+12	13,97500038	50,6292345	3,0553992	4504	0	-	0	
81	1,62728E+12	13,97500038	50,6292345	3,0553992	7496	0	-	0	
82	1,62728E+12	13,97500038	50,6292345	3,0553992	4509	0	-	0	
83	1,62728E+12	13,97500038	50,6292345	3,0553992	7497	0	-	0	
84	1,62728E+12	13,97500038	50,6292345	3,0553992	4545	0	-	0	
85	1,62728E+12	13,97500038	50,6292345	3,0553992	7437	0	-	0	
86	1,62728E+12	13,97500038	50,6292345	3,0553992	4521	0,000723006	-	0,007244291	
87	1,62728E+12	13,37100029	50,6292369	3,0553896	7462	0	-	0	
88	1,62728E+12	13,37100029	50,6292369	3,0553896	4581	0,000723006	-	0,007244291	
89	1,62728E+12	13,97500038	50,6292345	3,0553992	7361	0	-	0	
90	1,62728E+12	13,97500038	50,6292345	3,0553992	4635	0	-	0	
91	1,62728E+12	13,97500038	50,6292345	3,0553992	7458	0	-	0	
92	1,62728E+12	13,97500038	50,6292345	3,0553992	4507	0	-	0	
93	1,62728E+12	13,97500038	50,6292345	3,0553992	7471	0	-	0	
94	1,62728E+12	13,97500038	50,6292345	3,0553992	4525	0,000723006	-	0,007244291	
95	1,62728E+12	13,37100029	50,6292369	3,0553896	7461	0	-	0	
96	1,62728E+12	13,37100029	50,6292369	3,0553896	4559	0,000134259	-	0,001345231	
97	1,62728E+12	14,14700031	50,6292371	3,0553915	8110	0	-	0	
98	1,62728E+12	14,14700031	50,6292371	3,0553915	3882	0,001530786	-	0,015337995	
99	1,62728E+12	14,29300022	50,6292236	3,0553874	8175	0	-	0	
100	1,62728E+12	14,29300022	50,6292236	3,0553874	3813	0	-	0	
101	1,62728E+12	14,29300022	50,6292236	3,0553874	7445	0	-	0	
102	1,62728E+12	14,29300022	50,6292236	3,0553874	4530	0,013072835	-	0,130985728	
103	1,62728E+12	53,61475754	50,62920745	3,05520382	6696	0,013072835	-	0,130985728	
104	1,62728E+12	14,29300022	50,6292236	3,0553874	5330	0	-	0	
105	1,62728E+12	14,29300022	50,6292236	3,0553874	7464	0	-	0	
106	1,62728E+12	14,29300022	50,6292236	3,0553874	4535	0	-	0	
