	RR	Timestamp	SensorContact	errorEstimate	blockerBit		54,10%
129	719	1,62541E+12	-1	-1	-1	5010	
130	575	1,62541E+12	-1	-1	-1	0	
131	951	1,62541E+12	-1	-1	-1	989	
132	679	1,62541E+12	-1	-1	-1	1021	
133	791	1,62541E+12	-1	-1	-1	990	
134	671	1,62541E+12	-1	-1	-1	5009	
135	855	1,62541E+12	-1	-1	-1	3001	
136	671	1,62541E+12	-1	-1	-1	1019	
137	911	1,62541E+12	-1	-1	-1	961	
138	703	1,62541E+12	-1	-1	-1	2010	
139	655	1,62541E+12	-1	-1	-1	0	
140	575	1,62541E+12	-1	-1	-1	2011	
141	951	1,62541E+12	-1	-1	-1	989	
142	799	1,62541E+12	-1	-1	-1	990	
143	863	1,62541E+12	-1	-1	-1	1020	
144	759	1,62541E+12	-1	-1	-1	991	
145	759	1,62541E+12	-1	-1	-1	0	
146	911	1,62541E+12	-1	-1	-1	988	
147	783	1,62541E+12	-1	-1	-1	3031	
148	839	1,62541E+12	-1	-1	-1	990	
149	583	1,62541E+12	-1	-1	-1	992	
150	727	1,62541E+12	-1	-1	-1	2007	
151	695	1,62541E+12	-1	-1	-1	992	
152	775	1,62541E+12	-1	-1	-1	988	
153	687	1,62541E+12	-1	-1	-1	0	
154	799	1,62541E+12	-1	-1	-1	1021	
155	735	1,62541E+12	-1	-1	-1	989	
156	799	1,62541E+12	-1	-1	-1	6002	
157	791	1,62541E+12	-1	-1	-1	0	
158	935	1,62541E+12	-1	-1	-1	3000	
159	655	1,62541E+12	-1	-1	-1	990	
160	759	1,62541E+12	-1	-1	-1	0	
161	495	1,62541E+12	-1	-1	-1	989	
162	703	1,62541E+12	-1	-1	-1	2010	
163	607	1,62541E+12	-1	-1	-1	989	
164	583	1,62541E+12	-1	-1	-1	0	
165	695	1,62541E+12	-1	-1	-1	7021	
166	783	1,62541E+12	-1	-1	-1	991	
167	743	1,62541E+12	-1	-1	-1	2040	
168	759	1,62541E+12	-1	-1	-1	1949	
169	751	1,62541E+12	-1	-1	-1	1021	
170	711	1,62541E+12	-1	-1	-1	990	
171	719	1,62541E+12	-1	-1	-1	0	
172	759	1,62541E+12	-1	-1	-1	989	
173	799	1,62541E+12	-1	-1	-1	1020	
174	631	1,62541E+12	-1	-1	-1	991	
175	703	1,62541E+12	-1	-1	-1	0	
176	719	1,62541E+12	-1	-1	-1	989	
177	703	1,62541E+12	-1	-1	-1	1023	
178	711	1,62541E+12	-1	-1	-1	0	
179	751	1,62541E+12	-1	-1	-1	986	
180	751	1,62541E+12	-1	-1	-1	991	
181	671	1,62541E+12	-1	-1	-1	1021	
182	535	1,62541E+12	-1	-1	-1	0	
183	879	1,62541E+12	-1	-1	-1	991	
184	767	1,62541E+12	-1	-1	-1	988	
185	695	1,62541E+12	-1	-1	-1	1021	
186	655	1,62541E+12	-1	-1	-1	0	
187	815	1,62541E+12	-1	-1	-1	990	
188	567	1,62541E+12	-1	-1	-1	989	
189	743	1,62541E+12	-1	-1	-1	0	
190	623	1,62541E+12	-1	-1	-1	1021	
191	695	1,62541E+12	-1	-1	-1	990	
192	711	1,62541E+12	-1	-1	-1	0	
193	767	1,62541E+12	-1	-1	-1	989	
194	751	1,62541E+12	-1	-1	-1	1021	
195	727	1,62541E+12	-1	-1	-1	990	
196	631	1,62541E+12	-1	-1	-1	0	
197	775	1,62541E+12	-1	-1	-1	988	
198	751	1,62541E+12	-1	-1	-1	1022	
199	751	1,62541E+12	-1	-1	-1	0	
200	735	1,62541E+12	-1	-1	-1	989	
201	695	1,62541E+12	-1	-1	-1	2011	
202	647	1,62541E+12	-1	-1	-1	989	
203	831	1,62541E+12	-1	-1	-1	991	
204	591	1,62541E+12	-1	-1	-1	0	
205	791	1,62541E+12	-1	-1	-1	1021	
206	647	1,62541E+12	-1	-1	-1	989	
207	831	1,62541E+12	-1	-1	-1	989	
208	775	1,62541E+12	-1	-1	-1	0	
209	735	1,62541E+12	-1	-1	-1	1051	
210	719	1,62541E+12	-1	-1	-1	1949	
211	679	1,62541E+12	-1	-1	-1	1021	
212	719	1,62541E+12	-1	-1	-1	991	
213	743	1,62541E+12	-1	-1	-1	988	
214	759	1,62541E+12	-1	-1	-1	0	
215	703	1,62541E+12	-1	-1	-1	1021	
216	687	1,62541E+12	-1	-1	-1	990	
217	743	1,62541E+12	-1	-1	-1	0	
218	687	1,62541E+12	-1	-1	-1	989	
219	767	1,62541E+12	-1	-1	-1	1020	
220	759	1,62541E+12	-1	-1	-1	1981	
221	679	1,62541E+12	-1	-1	-1	1020	
222	823	1,62541E+12	-1	-1	-1	990	
223	743	1,62541E+12	-1	-1	-1	0	
224	647	1,62541E+12	-1	-1	-1	989	
225	703	1,62541E+12	-1	-1	-1	4022	
226	759	1,62541E+12	-1	-1	-1	989	
227	735	1,62541E+12	-1	-1	-1	0	
228	751	1,62541E+12	-1	-1	-1	989	
229	927	1,62541E+12	-1	-1	-1	3000	
230	703	1,62541E+12	-1	-1	-1	2010	
231	767	1,62541E+12	-1	-1	-1	990	
232	679	1,62541E+12	-1	-1	-1	1022	
233	775	1,62541E+12	-1	-1	-1	990	
234	703	1,62541E+12	-1	-1	-1	0	
235	735	1,62541E+12	-1	-1	-1	988	
236	703	1,62541E+12	-1	-1	-1	1020	
237	703	1,62541E+12	-1	-1	-1	0	
238	759	1,62541E+12	-1	-1	-1	1051	
239	695	1,62541E+12	-1	-1	-1	930	
240	775	1,62541E+12	-1	-1	-1	1050	
241	743	1,62541E+12	-1	-1	-1	0	
242	719	1,62541E+12	-1	-1	-1	959	
243	631	1,62541E+12	-1	-1	-1	991	
244	647	1,62541E+12	-1	-1	-1	0	
245	831	1,62541E+12	-1	-1	-1	1020	
246	783	1,62541E+12	-1	-1	-1	990	
247	687	1,62541E+12	-1	-1	-1	990	
248	695	1,62541E+12	-1	-1	-1	0	
249	727	1,62541E+12	-1	-1	-1	1033	
250	703	1,62541E+12	-1	-1	-1	1966	
251	711	1,62541E+12	-1	-1	-1	1034	
252	727	1,62541E+12	-1	-1	-1	977	
253	719	1,62541E+12	-1	-1	-1	0	
254	759	1,62541E+12	-1	-1	-1	2999	
255	791	1,62541E+12	-1	-1	-1	0	
256	679	1,62541E+12	-1	-1	-1	989	
257	703	1,62541E+12	-1	-1	-1	1051	
258	759	1,62541E+12	-1	-1	-1	0	
259	679	1,62541E+12	-1	-1	-1	960	
260	759	1,62541E+12	-1	-1	-1	990	
261	727	1,62541E+12	-1	-1	-1	1020	
262	743	1,62541E+12	-1	-1	-1	0	
263	743	1,62541E+12	-1	-1	-1	991	
264	711	1,62541E+12	-1	-1	-1	988	
265	751	1,62541E+12	-1	-1	-1	1022	
266	711	1,62541E+12	-1	-1	-1	0	
267	759	1,62541E+12	-1	-1	-1	989	
268	719	1,62541E+12	-1	-1	-1	989	
269	767	1,62541E+12	-1	-1	-1	1022	
270	895	1,62541E+12	-1	-1	-1	6001	
271	519	1,62541E+12	-1	-1	-1	1978	
272	719	1,62541E+12	-1	-1	-1	1051	
273	807	1,62541E+12	-1	-1	-1	960	
274	743	1,62541E+12	-1	-1	-1	0	
275	983	1,62541E+12	-1	-1	-1	5010	
276	743	1,62541E+12	-1	-1	-1	0	
277	663	1,62541E+12	-1	-1	-1	990	
278	647	1,62541E+12	-1	-1	-1	989	
279	911	1,62541E+12	-1	-1	-1	1021	
280	879	1,62541E+12	-1	-1	-1	3000	
281	511	1,62541E+12	-1	-1	-1	0	
282	679	1,62541E+12	-1	-1	-1	6000	
283	711	1,62541E+12	-1	-1	-1	3989	
284	695	1,62541E+12	-1	-1	-1	0	
285	759	1,62541E+12	-1	-1	-1	991	
286	743	1,62541E+12	-1	-1	-1	989	
287	703	1,62541E+12	-1	-1	-1	1024	
288	679	1,62541E+12	-1	-1	-1	0	
289	791	1,62541E+12	-1	-1	-1	987	
290	655	1,62541E+12	-1	-1	-1	990	
291	703	1,62541E+12	-1	-1	-1	2011	
292	735	1,62541E+12	-1	-1	-1	989	
293	663	1,62541E+12	-1	-1	-1	4021	
294	815	1,62541E+12	-1	-1	-1	990	
295	759	1,62541E+12	-1	-1	-1	2009	
296	927	1,62541E+12	-1	-1	-1	7981	
297	647	1,62541E+12	-1	-1	-1	0	
298	951	1,62541E+12	-1	-1	-1	3001	
299	727	1,62541E+12	-1	-1	-1	0	
300	623	1,62541E+12	-1	-1	-1	1019	
301	727	1,62541E+12	-1	-1	-1	3990	
302	735	1,62541E+12	-1	-1	-1	3001	
303	671	1,62541E+12	-1	-1	-1	988	
304	855	1,62541E+12	-1	-1	-1	0	
305	575	1,62541E+12	-1	-1	-1	2011	
306	527	1,62541E+12	-1	-1	-1	989	
307	575	1,62541E+12	-1	-1	-1	4023	
308	839	1,62541E+12	-1	-1	-1	8998	
309	679	1,62541E+12	-1	-1	-1	989	
310	535	1,62541E+12	-1	-1	-1	6991	
311	1031	1,62541E+12	-1	-1	-1	1019	
312	895	1,62541E+12	-1	-1	-1	2013	
313	807	1,62541E+12	-1	-1	-1	987	
314	935	1,62541E+12	-1	-1	-1	3991	
315	591	1,62541E+12	-1	-1	-1	2999	
316	655	1,62541E+12	-1	-1	-1	3003	
317	551	1,62541E+12	-1	-1	-1	0	
318	695	1,62541E+12	-1	-1	-1	988	
319	847	1,62541E+12	-1	-1	-1	1021	
320	863	1,62541E+12	-1	-1	-1	3001	
321	983	1,62541E+12	-1	-1	-1	3987	
322	687	1,62541E+12	-1	-1	-1	0	
323	975	1,62541E+12	-1	-1	-1	3001	
324	951	1,62541E+12	-1	-1	-1	989	
325	1039	1,62541E+12	-1	-1	-1	1021	
326	1055	1,62541E+12	-1	-1	-1	3990	
327	1000	1,62541E+12	-1	-1	-1	990	
328	623	1,62541E+12	-1	-1	-1	4021	
329	751	1,62541E+12	-1	-1	-1	9000	
330	1151	1,62541E+12	-1	-1	-1	6000	
331	967	1,62541E+12	-1	-1	-1	990	
332	759	1,62541E+12	-1	-1	-1	989	
333	1167	1,62541E+12	-1	-1	-1	6990	
334	927	1,62541E+12	-1	-1	-1	1021	
335	1223	1,62541E+12	-1	-1	-1	3990	
336	703	1,62541E+12	-1	-1	-1	3030	
337	727	1,62541E+12	-1	-1	-1	959	
