,Timestamp,Quality,Lat,Lon
0,1623407873581,8,45.233739329848355,5.649995505671523
1,1623407934459,4,45.23287856304136,5.645831423975822
2,1623407995446,4,45.23221471102331,5.650612387583957
3,1623408056507,4,45.23676243162497,5.660569470786955
4,1623408117423,4,45.22885136384254,5.6666834619311395
5,1623408178446,6,45.21678800888638,5.677985096781375
6,1623408239418,4,45.20729981903345,5.687658852548448
7,1623408300432,4,45.197734885714034,5.700849031729177
8,1623408361455,6,45.188272481927825,5.702539927082592
9,1623408422419,4,45.18048144252604,5.702056363434497
10,1623408483416,3,45.18020704806914,5.698373545791799
11,1623408544413,6,45.180353605256535,5.694847262764723
12,1623408605412,4,45.179917224398025,5.693871757405026
13,1623408666387,4,45.17980103475921,5.692725424846902
