	RR	Timestamp	écart		moyenne	min	max	mode	écart-type	durée	somme RR	max écart tmsp	écart-type tmsp	25e centile	50e centile	75e centile	RR/durée	durée (min)	état	deconnexion
120	568	1623388486849	992	11/06/2021 07:14																
121	680	1623388487807	958	11/06/2021 07:14																
122	1287	1623388488797	990	11/06/2021 07:14																
123	1375	1623388489758	961	11/06/2021 07:14																
124	620	1623388490748	990	11/06/2021 07:14																
125	941	1623388491741	993	11/06/2021 07:14																
126	994	1623388492698	957	11/06/2021 07:14																
127	611	1623388492698	0	11/06/2021 07:14																
128	868	1623388493688	990	11/06/2021 07:14																
129	898	1623388494676	988	11/06/2021 07:14																
130	614	1623388495639	963	11/06/2021 07:14																
131	892	1623388496628	989	11/06/2021 07:14																
132	597	1623388496628	0	11/06/2021 07:14																
133	627	1623388497618	990	11/06/2021 07:14																
134	621	1623388498576	958	11/06/2021 07:14																
135	547	1623388498576	0	11/06/2021 07:14																
136	959	1623388499568	992	11/06/2021 07:15																
137	1072	1623388500526	958	11/06/2021 07:15																
138	573	1623388501515	989	11/06/2021 07:15																
139	764	1623388501515	0	11/06/2021 07:15																
140	584	1623388502505	990	11/06/2021 07:15																
141	1063	1623388503466	961	11/06/2021 07:15																
142	691	1623388504787	1321	11/06/2021 07:15																
143	1189	1623388505446	659	11/06/2021 07:15																
144	716	1623388506406	960	11/06/2021 07:15																
145	1022	1623388507396	990	11/06/2021 07:15																
146	1113	1623388508357	961	11/06/2021 07:15																
147	920	1623388509350	993	11/06/2021 07:15																
148	1315	1623388510337	987	11/06/2021 07:15																
149	635	1623388511296	959	11/06/2021 07:15																
150	608	1623388512286	990	11/06/2021 07:15																
151	540	1623388512286	0	11/06/2021 07:15																
152	616	1623388513246	960	11/06/2021 07:15																
153	603	1623388513246	0	11/06/2021 07:15																
154	1661	1623388515225	1979	11/06/2021 07:15																
155	1180	1623388516185	960	11/06/2021 07:15																
156	580	1623388517175	990	11/06/2021 07:15																
157	573	1623388517175	0	11/06/2021 07:15																
158	1144	1623388519126	1951	11/06/2021 07:15																
159	590	1623388519127	1	11/06/2021 07:15																
160	557	1623388520116	989	11/06/2021 07:15																
161	579	1623388520116	0	11/06/2021 07:15																
162	589	1623388521075	959	11/06/2021 07:15																
163	598	1623388521075	0	11/06/2021 07:15																
164	591	1623388522066	991	11/06/2021 07:15																
165	524	1623388523057	991	11/06/2021 07:15																
166	623	1623388523057	0	11/06/2021 07:15																
167	593	1623388524018	961	11/06/2021 07:15																
168	597	1623388524018	0	11/06/2021 07:15																
169	674	1623388525997	1979	11/06/2021 07:15																
170	1830	1623388526957	960	11/06/2021 07:15																
171	1550	1623388528937	1980	11/06/2021 07:15																
172	606	1623388528937	0	11/06/2021 07:15																
173	494	1623388529896	959	11/06/2021 07:15																
174	620	1623388529896	0	11/06/2021 07:15																
175	572	1623388530887	991	11/06/2021 07:15																
176	486	1623388530887	0	11/06/2021 07:15																
177	574	1623388531847	960	11/06/2021 07:15																
178	577	1623388532836	989	11/06/2021 07:15																
179	500	1623388532837	1	11/06/2021 07:15																
180	652	1623388533827	990	11/06/2021 07:15																
181	458	1623388533827	0	11/06/2021 07:15																
182	537	1623388534787	960	11/06/2021 07:15																
183	613	1623388534787	0	11/06/2021 07:15																
184	530	1623388535777	990	11/06/2021 07:15																
185	574	1623388536739	962	11/06/2021 07:15																
186	1576	1623388537727	988	11/06/2021 07:15																
187	486	1623388538717	990	11/06/2021 07:15																
188	1002	1623388539676	959	11/06/2021 07:15																
189	519	1623388539676	0	11/06/2021 07:15																
190	524	1623388540668	992	11/06/2021 07:15																
191	594	1623388540668	0	11/06/2021 07:15																
192	1072	1623388542617	1949	11/06/2021 07:15																
193	405	1623388542617	0	11/06/2021 07:15																
194	763	1623388543607	990	11/06/2021 07:15																
195	528	1623388543607	0	11/06/2021 07:15																
196	1231	1623388545562	1955	11/06/2021 07:15																
197	987	1623388545562	0	11/06/2021 07:15																
198	614	1623388546517	955	11/06/2021 07:15																
199	529	1623388547507	990	11/06/2021 07:15																
