1632186731638
6911467575fc0ffb605dbe2.23116001
15067649725fd23186b9ffe1.12427099
567;1632186732477;81
575;1632186733380;82
583;1632186734400;82
447;1632186736389;85
743;1632186737400;87
679;1632186738410;89
479;1632186739384;92
447;1632186742394;94
439;1632186743405;95
487;1632186751418;96
591;1632186754390;96
335;1632186755401;100
567;1632186757392;100
543;1632186758405;100
559;1632186759397;100
599;1632186760414;99
599;1632186761408;98
591;1632186762398;98
591;1632186767403;97
567;1632186770405;97
535;1632186773402;96
543;1632186774376;95
591;1632186775389;94
575;1632186776407;90
575;1632186777381;86
623;1632186787406;85
535;1632186788399;84
687;1632186799412;86
591;1632186804380;79
599;1632186805433;78
583;1632186806405;77
575;1632186807383;72
591;1632186808396;67
623;1632186809403;65
527;1632186810378;65
759;1632186814394;69
567;1632186818408;68
583;1632186819382;68
599;1632186820393;67
623;1632186822376;68
591;1632186823394;68
607;1632186827407;68
599;1632186828382;68
591;1632186829406;66
591;1632186830451;63
671;1632186833409;62
671;1632186835389;62
671;1632186836421;62
655;1632186837428;60
647;1632186838413;60
631;1632186839409;56
623;1632186840398;45
639;1632186841408;45
663;1632186844397;46
655;1632186845409;46
655;1632186846393;46
655;1632186847448;46
631;1632186848425;47
599;1632186850411;47
599;1632186851408;46
615;1632186852401;42
623;1632186853406;41
647;1632186854423;41
647;1632186855393;40
647;1632186856407;40
615;1632186857409;40
631;1632186858399;38
591;1632186859412;38
655;1632186861379;39
575;1632186862389;39
631;1632186863440;38
599;1632186864422;38
623;1632186865397;38
607;1632186866405;38
599;1632186867381;36
591;1632186868393;28
631;1632186873382;27
711;1632186874393;35
519;1632186878406;41
607;1632186879382;41
575;1632186881399;42
599;1632186886410;42
743;1632186887407;44
615;1632186900401;44
583;1632186901392;44
583;1632186902404;44
583;1632186903376;44
583;1632186909391;44
591;1632186910407;44
607;1632186911365;44
615;1632186912378;44
583;1632186916398;44
599;1632186917407;44
599;1632186918399;44
631;1632186922390;44
407;1632186923407;52
503;1632186924378;53
591;1632186925395;53
503;1632186926405;55
567;1632186929406;55
519;1632186930413;55
615;1632186934390;55
599;1632186935402;55
615;1632186936376;55
519;1632186945379;56
735;1632186946427;59
575;1632186951394;62
479;1632186952411;64
463;1632186956447;66
607;1632186957379;66
495;1632186959369;66
687;1632186960400;67
647;1632186961406;68
471;1632186962384;69
551;1632186969392;69
