,Timestamp,Quality,Lat,Lon
0,1622013504618,16,50.65681126125219,3.088909471881567
1,1622013565016,200,50.65666750507078,3.089165531400723
2,1622013626126,8,50.65662762841082,3.0895421640030443
3,1622013687121,8,50.65672391405611,3.089448146173813
4,1622013748094,8,50.65670763075515,3.0894448710443534
5,1622013809242,8,50.65672901609511,3.0894885667188037
6,1622013870144,12,50.656689020270655,3.089530073704202
7,1622013931118,8,50.65673050592154,3.0894568513651963
8,1622013992116,12,50.65669311771902,3.089628405314364
9,1622014053111,12,50.65675222790929,3.0894466853620517
10,1622014114111,12,50.65675222790929,3.0894466853620517
11,1622014175140,12,50.65666276984746,3.0894909977541265
12,1622014236006,12,50.65666276984746,3.0894909977541265
13,1622014297048,8,50.65671340129681,3.0894709627443255
14,1622014358018,6,50.656709862536964,3.0894607709615176
15,1622014419491,12,50.65677621936485,3.08942297146914
16,1622014480487,8,50.6567619761987,3.089414816523958
17,1622014541110,24,50.656729956714095,3.0897328184034483
18,1622014603030,12,50.65674016010643,3.0896812209469293
19,1622014739466,12,50.656774613624584,3.089511071331985
