	Timestamp	Quality	Lat	Lon	gap (ms)	distance	test	km/h	0,099929605
62	1,62713E+12	6.0	45,23378801	5,650006625	5975	0,001485972	-	0,014870192	
63	1,62713E+12	6.0	45,23377708	5,649995157	6024	0,001644328	-	0,016454859	
64	1,62713E+12	8.0	45,23376502	5,649968603	5965	0,00146151	-	0,014625399	
65	1,62713E+12	8.0	45,23377576	5,650000771	6065	0,001768449	-	0,017696944	
66	1,62713E+12	8.0	45,23378876	5,65001244	5979	0	-	0	
67	1,62713E+12	8.0	45,23378817	5,650002004	5899	0,001470731	-	0,014717674	
68	1,62713E+12	6.0	45,23377736	5,649942509	6041	0,001061409	-	0,010621566	
69	1,62713E+12	6.0	45,23376951	5,649893745	6031	0,002105767	-	0,021072502	
70	1,62713E+12	4.0	45,23375403	5,649852018	5946	0,001208329	-	0,012091803	
71	1,62713E+12	4.0	45,23374515	5,6498257	6045	0,000268518	-	0,002687067	
72	1,62713E+12	6.0	45,2337431	5,649817808	5983	0,000300212	-	0,003004233	
73	1,62713E+12	6.0	45,23374526	5,649816978	5983	0,000367683	-	0,003679418	
74	1,62713E+12	6.0	45,23374252	5,649814154	6027	0	-	0	
75	1,62713E+12	6.0	45,23374323	5,649820098	5974	0,000537035	-	0,005374135	
76	1,62713E+12	6.0	45,23373937	5,649816729	6027		-	0	
